영역,유형,표준점수,남자,여자
국어,국어,134,218,153
국어,국어,133,469,284
국어,국어,132,135,109
국어,국어,131,1053,660
국어,국어,130,1135,769
국어,국어,129,969,810
국어,국어,128,2237,1909
국어,국어,127,1996,1690
국어,국어,126,2645,2617
국어,국어,125,3788,3511
국어,국어,124,3806,3966
국어,국어,123,4365,4092
국어,국어,122,3756,3876
국어,국어,121,5492,5468
국어,국어,120,4210,4187
국어,국어,119,5534,5971
국어,국어,118,4790,5045
국어,국어,117,5405,5767
국어,국어,116,5236,5849
국어,국어,115,5321,5667
국어,국어,114,5378,6129
국어,국어,113,4921,5216
국어,국어,112,5864,6285
국어,국어,111,4689,5381
국어,국어,110,5052,5509
국어,국어,109,4547,4989
국어,국어,108,4900,5424
국어,국어,107,4208,4767
국어,국어,106,4418,4691
국어,국어,105,4250,4732
국어,국어,104,4538,4808
국어,국어,103,3583,3891
국어,국어,102,3657,3881
국어,국어,101,3465,3685
국어,국어,100,3350,3577
국어,국어,99,3632,3643
국어,국어,98,3158,3250
국어,국어,97,2967,3135
국어,국어,96,2937,2974
국어,국어,95,3000,3066
국어,국어,94,2755,2763
국어,국어,93,2649,2763
국어,국어,92,2600,2572
국어,국어,91,2476,2600
국어,국어,90,2730,2644
국어,국어,89,2433,2351
국어,국어,88,2340,2189
국어,국어,87,2487,2275
국어,국어,86,2330,2184
국어,국어,85,2220,2031
국어,국어,84,2272,2009
국어,국어,83,2119,1870
국어,국어,82,2205,1898
국어,국어,81,2074,1817
국어,국어,80,1971,1736
국어,국어,79,1995,1791
국어,국어,78,2051,1776
국어,국어,77,1873,1530
국어,국어,76,1902,1594
국어,국어,75,1868,1556
국어,국어,74,1698,1431
국어,국어,73,1777,1451
국어,국어,72,1689,1332
국어,국어,71,1589,1303
국어,국어,70,1653,1276
국어,국어,69,1654,1251
국어,국어,68,1551,1160
국어,국어,67,1547,1137
국어,국어,66,1681,1262
국어,국어,65,1550,1045
국어,국어,64,1560,966
국어,국어,63,1510,1055
국어,국어,62,1404,862
국어,국어,61,1521,989
국어,국어,60,1573,981
국어,국어,59,1319,848
국어,국어,58,1758,939
국어,국어,57,1213,709
국어,국어,56,1572,822
국어,국어,55,926,483
국어,국어,54,2320,1117
국어,국어,53,798,459
국어,국어,52,770,456
국어,국어,51,545,324
국어,국어,50,469,229
국어,국어,49,409,205
국어,국어,48,364,237
국어,국어,47,196,105
국어,국어,46,169,98
국어,국어,45,97,90
국어,국어,44,75,44
국어,국어,43,61,45
국어,국어,42,56,29
국어,국어,41,30,14
국어,국어,40,26,23
국어,국어,39,23,17
국어,국어,38,60,29
국어,국어,37,15,15
국어,국어,35,111,60
수학,수학,145,797,137
수학,수학,143,66,17
수학,수학,142,1656,405
수학,수학,140,45,17
수학,수학,139,3230,976
수학,수학,138,5,2
수학,수학,137,104,26
수학,수학,136,4706,1753
수학,수학,135,538,206
수학,수학,134,240,79
수학,수학,133,5306,2260
수학,수학,132,1988,942
수학,수학,131,462,176
수학,수학,130,4646,2220
수학,수학,129,4047,2315
수학,수학,128,971,375
수학,수학,127,3817,1880
수학,수학,126,5839,4028
수학,수학,125,1553,751
수학,수학,124,4802,2731
수학,수학,123,4951,4140
수학,수학,122,2819,1540
수학,수학,121,4818,3642
수학,수학,120,3490,3456
수학,수학,119,2875,1861
수학,수학,118,5503,4521
수학,수학,117,2329,2354
수학,수학,116,2549,1750
수학,수학,115,5056,4284
수학,수학,114,2384,2413
수학,수학,113,2496,1754
수학,수학,112,3817,3267
수학,수학,111,3022,3135
수학,수학,110,2700,2186
수학,수학,109,2843,2605
수학,수학,108,2969,2695
수학,수학,107,3004,2908
수학,수학,106,2196,2347
수학,수학,105,2945,2621
수학,수학,104,2393,2245
수학,수학,103,2815,3321
수학,수학,102,2534,2463
수학,수학,101,2835,2880
수학,수학,100,2752,3214
수학,수학,99,2709,3040
수학,수학,98,3012,3239
수학,수학,97,2449,2628
수학,수학,96,3009,3725
수학,수학,95,2393,2807
수학,수학,94,2815,2926
수학,수학,93,2210,2467
수학,수학,92,3063,3887
수학,수학,91,2768,2892
수학,수학,90,2414,2647
수학,수학,89,2153,2616
수학,수학,88,3037,3662
수학,수학,87,2702,3026
수학,수학,86,2194,2518
수학,수학,85,2821,3470
수학,수학,84,3337,3915
수학,수학,83,3008,3513
수학,수학,82,2669,3155
수학,수학,81,4534,5903
수학,수학,80,4605,5173
수학,수학,79,3681,4534
수학,수학,78,5102,5601
수학,수학,77,7172,9044
수학,수학,76,8721,8853
수학,수학,75,2959,3836
수학,수학,74,2734,3452
수학,수학,73,5033,6074
수학,수학,72,2140,2400
수학,수학,71,1419,1816
수학,수학,70,1427,1875
수학,수학,69,1145,1308
수학,수학,68,588,733
수학,수학,67,404,377
수학,수학,66,477,537
수학,수학,65,102,97
수학,수학,63,218,185
사회탐구,생활과 윤리,72,377,756
사회탐구,생활과 윤리,70,247,398
사회탐구,생활과 윤리,69,836,1762
사회탐구,생활과 윤리,68,27,66
사회탐구,생활과 윤리,67,645,1356
사회탐구,생활과 윤리,66,981,2332
사회탐구,생활과 윤리,65,174,303
사회탐구,생활과 윤리,64,1187,2347
사회탐구,생활과 윤리,63,999,2276
사회탐구,생활과 윤리,62,426,754
사회탐구,생활과 윤리,61,2461,5292
사회탐구,생활과 윤리,60,844,1498
사회탐구,생활과 윤리,59,1888,3782
사회탐구,생활과 윤리,58,746,1847
사회탐구,생활과 윤리,57,1338,2578
사회탐구,생활과 윤리,56,1852,3681
사회탐구,생활과 윤리,55,857,1777
사회탐구,생활과 윤리,54,1874,3723
사회탐구,생활과 윤리,53,1710,3322
사회탐구,생활과 윤리,52,1186,2302
사회탐구,생활과 윤리,51,2147,4186
사회탐구,생활과 윤리,50,1325,2621
사회탐구,생활과 윤리,49,1638,3173
사회탐구,생활과 윤리,48,2005,3951
사회탐구,생활과 윤리,47,1283,2432
사회탐구,생활과 윤리,46,1891,3674
사회탐구,생활과 윤리,45,1583,2827
사회탐구,생활과 윤리,44,1450,2689
사회탐구,생활과 윤리,43,1738,3040
사회탐구,생활과 윤리,42,1402,2185
사회탐구,생활과 윤리,41,1556,2496
사회탐구,생활과 윤리,40,1372,2005
사회탐구,생활과 윤리,39,1330,1908
사회탐구,생활과 윤리,38,1267,1711
사회탐구,생활과 윤리,37,1218,1519
사회탐구,생활과 윤리,36,2783,3095
사회탐구,생활과 윤리,35,748,919
